Frame,Chain,MgID,ListResids,ListResnames,ListAtoms
2411,PP1,310,60,POPE, O13
2411,PP1,323,5,POPE, O14 P
2412,PP1,310,60,POPE, O13
2412,PP1,323,5,POPE, O14
2413,PP1,310,60,POPE, O13
2413,PP1,323,5,POPE, O14
2414,PP1,310,60,POPE, O13
2414,PP1,323,5,POPE, O14 P
2415,PP1,310,157 60,POPE, HN3 O13
2415,PP1,323,5,POPE, O14
2416,PP1,310,60,POPE, O13
2416,PP1,323,5,POPE, O14
2417,PP1,310,60,POPE, O13
2417,PP1,323,5,POPE, O14
2418,PP1,310,60,POPE, O13
2418,PP1,323,5,POPE, O14
2419,PP1,310,60,POPE, O13
2419,PP1,323,5,POPE, O14
2420,PP1,310,60,POPE, O13
2420,PP1,323,5,POPE, O14
2421,PP1,310,60,POPE, O13
2421,PP1,323,5,POPE, O14
2422,PP1,310,60,POPE, O13
2422,PP1,323,5,POPE, O14
2423,PP1,310,60,POPE, O13
2423,PP1,323,5,POPE, O14
2424,PP1,310,60,POPE, O13
2424,PP1,323,5,POPE, O14
2425,PP1,310,60,POPE, O13
2425,PP1,323,5,POPE, O14
2426,PP1,310,60,POPE, O13
2426,PP1,323,5,POPE, O14
2427,PP1,310,60,POPE, O13
2427,PP1,323,5,POPE, O14
2428,PP1,310,60,POPE, O13
2428,PP1,323,5,POPE, O14
2429,PP1,310,60,POPE, O13
2429,PP1,323,5,POPE, O14
2430,PP1,310,60,POPE, O13
2430,PP1,323,5,POPE, O14
2431,PP1,310,60,POPE, O13
2431,PP1,323,5,POPE, O14
2432,PP1,310,60,POPE, O13
2432,PP1,323,5,POPE, O14
2433,PP1,310,60,POPE, O13
2433,PP1,323,5,POPE, O14
2434,PP1,310,60,POPE, O13
2434,PP1,323,5,POPE, O14
2435,PP1,310,60,POPE, O13
2435,PP1,323,5,POPE, O14
2436,PP1,310,60,POPE, O13
2436,PP1,323,5,POPE, O14
2437,PP1,310,60,POPE, O13
2437,PP1,323,5,POPE, O14
2438,PP1,310,60,POPE, O13
2438,PP1,323,5,POPE, O14
2439,PP1,310,60,POPE, O13
2439,PP1,323,5,POPE, O14
2440,PP1,310,60,POPE, O13
2440,PP1,323,5,POPE, O14
2441,PP1,310,60,POPE, O13
2441,PP1,323,5,POPE, O14
2442,PP1,310,60,POPE, O13
2442,PP1,323,5,POPE, O14
2443,PP1,310,60,POPE, O13
2443,PP1,323,5,POPE, O14
2444,PP1,310,60,POPE, O13
2444,PP1,323,5,POPE, O14
2445,PP1,310,60,POPE, O13
2445,PP1,323,5,POPE, O14
2446,PP1,310,60,POPE, O13
2446,PP1,323,5,POPE, O14
2447,PP1,310,60,POPE, O13
2447,PP1,323,5,POPE, O14
2448,PP1,310,60,POPE, O13
2448,PP1,323,5,POPE, O14
2449,PP1,310,60,POPE, O13
2449,PP1,323,5,POPE, O14
2450,PP1,310,60,POPE, O13
2450,PP1,323,5,POPE, O14
2451,PP1,310,60,POPE, O13
