Frame,Chain,MgID,WaterID,ListResids,ListResnames,ListAtoms
64,PP1,323,5514,,, 
64,PP1,323,5539,5,POPE, O14
64,PP1,323,5586,5,POPE, O13 O14
65,PP1,310,3739,74,POPE, HN1 O14 P
65,PP1,310,4054,126 60,POPE POPG, O13 OC2
65,PP1,310,4452,60 74,POPE, O13 O14
65,PP1,323,5514,,, 
65,PP1,323,5539,5,POPE, O12 O14
65,PP1,323,5586,5,POPE, O14
66,PP1,310,3739,74,POPE, HN2
66,PP1,310,4054,60,POPE, O13
66,PP1,310,4452,60 74,POPE, O13 O14 P
66,PP1,323,5514,,, 
66,PP1,323,5539,5,POPE, O14
66,PP1,323,5586,5,POPE, O14
67,PP1,310,3739,74,POPE, HN3 O12 O14 P
67,PP1,310,4054,60,POPE, O13
67,PP1,310,4452,60,POPE, O13
67,PP1,323,5514,,, 
67,PP1,323,5539,5,POPE, O14
67,PP1,323,5586,5,POPE, O14
68,PP1,310,3739,,, 
68,PP1,310,4054,126 60,POPE POPG, O13 O14 P
68,PP1,310,4452,60,POPE, O13
68,PP1,323,5514,,, 
68,PP1,323,5539,5,POPE, O14
68,PP1,323,5586,5,POPE, O12 O14
69,PP1,310,3739,,, 
69,PP1,310,4054,126 60,POPE POPG, O13 O14
69,PP1,310,4452,126 60,POPE POPG, O11 O13 O14 P
69,PP1,323,5514,,, 
69,PP1,323,5539,5,POPE, O14
69,PP1,323,5586,5,POPE, O14
70,PP1,310,3739,74,POPE, HN1 HN2
70,PP1,310,4054,126 60,POPE POPG, O13 P
70,PP1,310,4452,126 60 74,POPE POPG, HN2 O13 O14
70,PP1,323,5514,,, 
70,PP1,323,5539,5,POPE, HN2 O14
70,PP1,323,5586,5,POPE, O14
71,PP1,310,3739,,, 
71,PP1,310,4054,60,POPE, O13
71,PP1,310,4452,60 74,POPE, O12 O13 P
71,PP1,323,5514,,, 
71,PP1,323,5539,5,POPE, O14
71,PP1,323,5586,5,POPE, O14
72,PP1,310,3739,,, 
72,PP1,310,4054,60,POPE, O13 O14
72,PP1,310,4452,60 74,POPE, O13 O14 P
72,PP1,323,5514,,, 
72,PP1,323,5539,5,POPE, O14
72,PP1,323,5586,5,POPE, O14
73,PP1,310,3739,74,POPE, HN2
73,PP1,310,4054,60,POPE, O13
73,PP1,310,4452,60 74,POPE, HN2 O13 O14 P
73,PP1,323,5514,,, 
73,PP1,323,5539,5,POPE, O14
73,PP1,323,5586,5,POPE, O14
74,PP1,310,3739,,, 
74,PP1,310,4054,60,POPE, O13
74,PP1,310,4452,60,POPE, O13
74,PP1,323,5514,,, 
